                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.83094,                0.83106,                 1.0885,                0.87569,                0.71346,                0.78069,                0.46689,                 1.3959,                 0.9986,                 1.4223,              0.0005776,              0.0005776,              0.0005776
                    131,                0.82506,                0.82874,                 1.0874,                 0.8733,                0.72185,                0.77602,                0.47127,                 1.3911,                 1.0035,                 1.4167,              0.0005743,              0.0005743,              0.0005743
                    132,                0.82925,                 0.8318,                 1.0886,                0.84887,                0.71815,                0.77583,                0.46937,                 1.3924,                0.99922,                 1.4234,               0.000571,               0.000571,               0.000571
                    133,                0.82384,                0.82502,                  1.086,                0.88874,                 0.7037,                0.77461,                0.48207,                 1.3601,                0.99545,                 1.3955,              0.0005677,              0.0005677,              0.0005677
                    134,                0.82653,                0.83017,                 1.0905,                0.86661,                0.72431,                0.77947,                0.47071,                 1.4138,                0.99121,                 1.4378,              0.0005644,              0.0005644,              0.0005644
                    135,                0.81861,                0.81299,                 1.0838,                0.86671,                0.70795,                0.77623,                0.47797,                 1.3613,                0.98841,                 1.4026,              0.0005611,              0.0005611,              0.0005611
                    136,                0.82041,                0.81825,                  1.085,                0.85847,                 0.7222,                0.78509,                0.47818,                  1.373,                0.98486,                 1.4052,              0.0005578,              0.0005578,              0.0005578
                    137,                0.83065,                0.82574,                 1.0829,                0.87416,                0.72685,                0.78221,                0.47058,                 1.4004,                 1.0033,                 1.4306,              0.0005545,              0.0005545,              0.0005545
                    138,                0.81874,                0.81692,                 1.0847,                0.85369,                0.72755,                0.78058,                0.46537,                 1.4009,                 0.9896,                 1.4336,              0.0005512,              0.0005512,              0.0005512
                    139,                0.82116,                0.81787,                 1.0828,                0.85023,                0.73523,                0.78615,                0.47069,                  1.401,                0.99267,                 1.4313,              0.0005479,              0.0005479,              0.0005479
                    140,                0.81859,                0.81115,                 1.0821,                0.88215,                0.71517,                0.78136,                0.46723,                 1.3886,                0.97943,                 1.4181,              0.0005446,              0.0005446,              0.0005446
                    141,                0.82405,                0.81386,                 1.0841,                0.88093,                0.71065,                0.77434,                0.47427,                 1.3675,                0.97772,                 1.4018,              0.0005413,              0.0005413,              0.0005413
                    142,                0.81892,                0.81523,                 1.0806,                0.86811,                0.73281,                0.78904,                0.47182,                  1.398,                0.97622,                 1.4225,               0.000538,               0.000538,               0.000538
                    143,                0.81301,                0.81228,                  1.082,                0.87099,                0.72646,                0.78337,                0.46886,                 1.4142,                0.97688,                 1.4382,              0.0005347,              0.0005347,              0.0005347
                    144,                0.81839,                0.80473,                 1.0801,                0.90799,                0.69298,                0.78315,                0.47395,                  1.388,                0.97897,                 1.4095,              0.0005314,              0.0005314,              0.0005314
                    145,                0.82331,                0.81639,                 1.0858,                0.86447,                0.72464,                0.78715,                0.47598,                 1.3672,                0.99027,                 1.4019,              0.0005281,              0.0005281,              0.0005281
                    146,                0.81809,                 0.8059,                 1.0775,                0.87775,                0.70816,                0.78126,                0.46956,                 1.3968,                0.98156,                 1.4225,              0.0005248,              0.0005248,              0.0005248
                    147,                0.81819,                0.80823,                 1.0817,                0.86937,                0.71817,                0.78071,                0.47863,                 1.3587,                0.98358,                 1.3869,              0.0005215,              0.0005215,              0.0005215
                    148,                0.80944,                0.79847,                 1.0756,                0.87137,                0.72531,                 0.7844,                 0.4712,                 1.3856,                0.97876,                 1.4171,              0.0005182,              0.0005182,              0.0005182
                    149,                0.81632,                0.80441,                  1.079,                0.87413,                0.72921,                0.78526,                0.48088,                 1.3661,                0.97353,                 1.4006,              0.0005149,              0.0005149,              0.0005149
                    150,                0.81426,                0.80765,                 1.0815,                0.87704,                0.71721,                0.78245,                0.48156,                 1.3491,                0.94832,                 1.3912,              0.0005116,              0.0005116,              0.0005116
