                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.90288,                0.79866,                 1.1483,                0.90536,                0.70134,                0.77294,                0.44933,                 1.4986,                0.91096,                 1.5844,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.8958,                0.78407,                 1.1436,                0.88452,                0.68102,                0.77057,                0.43673,                 1.5409,                0.92041,                 1.6143,                0.00406,                0.00406,                0.00406
                    123,                0.89683,                0.79004,                 1.1465,                0.88497,                0.67493,                0.75697,                0.45662,                 1.4538,                0.89914,                 1.5533,              0.0040105,              0.0040105,              0.0040105
                    124,                 0.8916,                0.78513,                 1.1421,                0.84745,                0.70234,                0.76401,                0.46125,                 1.4278,                0.90868,                  1.558,               0.003961,               0.003961,               0.003961
                    125,                0.87947,                0.77392,                 1.1382,                0.84337,                0.70756,                0.75885,                 0.4597,                 1.4351,                0.90348,                 1.5539,              0.0039115,              0.0039115,              0.0039115
                    126,                0.89045,                0.77733,                 1.1384,                0.87686,                0.69515,                0.76058,                0.46121,                 1.4671,                0.90748,                 1.5686,               0.003862,               0.003862,               0.003862
                    127,                0.88208,                0.77532,                 1.1393,                0.85962,                0.70453,                0.77047,                0.45044,                  1.463,                0.91293,                 1.5671,              0.0038125,              0.0038125,              0.0038125
                    128,                0.88868,                0.78664,                 1.1381,                0.88474,                0.67814,                0.76786,                0.45182,                 1.4984,                0.89403,                 1.5765,               0.003763,               0.003763,               0.003763
                    129,                0.87293,                0.76082,                 1.1291,                0.85783,                0.72239,                0.77871,                0.45196,                 1.4867,                0.89203,                 1.5834,              0.0037135,              0.0037135,              0.0037135
                    130,                0.87019,                0.75788,                 1.1301,                 0.8873,                0.70808,                0.77951,                0.47566,                 1.4421,                0.87716,                 1.5715,               0.003664,               0.003664,               0.003664
                    131,                0.88068,                0.77442,                 1.1375,                0.86908,                 0.6944,                0.77815,                0.46033,                 1.4545,                0.90269,                 1.5771,              0.0036145,              0.0036145,              0.0036145
                    132,                0.87744,                0.77477,                 1.1342,                0.88669,                0.71453,                0.78417,                 0.4729,                 1.4435,                0.87423,                 1.5429,               0.003565,               0.003565,               0.003565
                    133,                0.87537,                0.75182,                 1.1271,                0.84386,                0.72231,                0.78187,                0.47124,                 1.4616,                0.85731,                 1.5632,              0.0035155,              0.0035155,              0.0035155
                    134,                0.86547,                0.75358,                  1.127,                0.88456,                0.70677,                 0.7689,                0.47186,                 1.3985,                 0.8641,                 1.5109,               0.003466,               0.003466,               0.003466
                    135,                0.86464,                0.75297,                 1.1256,                0.88675,                0.71766,                0.78644,                0.47066,                  1.447,                0.85908,                 1.5526,              0.0034165,              0.0034165,              0.0034165
                    136,                0.87143,                 0.7641,                 1.1309,                0.90326,                0.70114,                0.78542,                0.46897,                 1.4441,                0.86313,                 1.5463,               0.003367,               0.003367,               0.003367
                    137,                  0.871,                0.75348,                  1.128,                0.88795,                0.71261,                0.78755,                0.47318,                 1.4236,                 0.8525,                 1.5623,              0.0033175,              0.0033175,              0.0033175
                    138,                0.85174,                0.73821,                 1.1189,                 0.9041,                0.70572,                0.78566,                0.47932,                 1.4332,                 0.8656,                 1.5553,               0.003268,               0.003268,               0.003268
